uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
50,1,1,0,0,3.41184514120904,65536,0,0,0,27.6781958604389
50,1,1,0,3,37.6639308251062,-38.6572013689364,0,0,0,14.371772909167
50,1,1,0,33.75,17.2267948621125,-4.97869765994866,0,0,0,15.8301650895505
50,1,1,0,69,-9.07616642600446,5.80796359359729,0,0,0,19.4898786487333
50,1,1,0,75,-12.5172024715626,1.42096525778165,0,0,0,15.8247754197589
50,1,1,0,84.75,-28.1850638874394,4.07007974137635,0,0,0,14.1817333354284
50,1,1,0,85.5,11.3330691774654,4.08298877324127,0,0,0,13.8054794952346
50,1,1,-7.14830346930995,89.25,43.8695197722899,0.186812132437083,0,0,0,14.6549258496309
50,1,1,-6.20773722334811,89.25,-64.6958784886959,-0.898168473474485,0,0,0,13.9794782309371
50,1,1,0,91.875,56.0952902869905,5.52633079059183,0,0,0,12.5947543024527
50,1,1,7.33641671850232,93.75,48.518538400715,0.622469094462687,0,0,0,13.6696362919999
50,1,1,7.90075646607942,93.75,48.7388688496951,2.37511434634267,0,0,0,14.3154571036464
100,2,1,0,0,3.41184514120904,65536,0,0,0,27.8239852870253
100,2,1,0,3,37.683856364236,-38.054950799032,0,0,0,14.2450610812403
100,2,1,0,33.75,17.3983429846926,-5.14048649859987,0,0,0,15.560240651752
100,2,1,0,69,-8.85550865108637,5.85625404221243,0,0,0,19.3298651335988
100,2,1,0,75,-11.8954729021805,1.4862537811418,0,0,0,16.0454995101573
100,2,1,-5.64339747577101,80.25,44.5240260908594,-6.11816997424673,0,0,0,12.9723567419019
100,2,1,0,83.25,-13.6859948301833,1.38722867215799,0,0,0,12.7805183857742
100,2,1,0,84.75,-26.3481965795549,3.44808786211551,0,0,0,14.7029562468616
100,2,1,0,85.5,11.4924598442305,4.14302933734096,0,0,0,13.1053684508487
100,2,1,-6.20773722334811,89.25,-63.3388021183718,1.2139084864116,0,0,0,14.3649241843285
100,2,1,5.64339747577101,93.75,49.7884465497381,-3.05794015115119,0,0,0,12.5085000294482
150,3,1,0,0,3.41184514120904,65536,0,0,0,27.4334240776929
150,3,1,0,3,39.1959450905323,-38.1911428559667,0,0,0,14.476571774084
150,3,1,0,34.125,15.3141620216462,-6.39351688804318,0,0,0,15.6787025430465
150,3,1,0,69,-9.01576483521028,5.80105729835735,0,0,0,19.5385730084115
150,3,1,0,75,-11.1152494748566,0.881694476715253,0,0,0,16.5661726025874
150,3,1,0,83.25,-13.0717393497029,1.51303552331375,0,0,0,12.8736588270818
150,3,1,0,84.75,-27.0798409489923,4.22663000473679,0,0,0,14.8186409307999
150,3,1,0,85.5,3.18546184165556,3.89785988799069,0,0,0,13.8508688592286
150,3,1,-6.39585047254048,89.25,45.6036537011338,-1.399248557343,0,0,0,12.7407594636887
150,3,1,-5.64339747577101,89.25,-62.0420892041243,-1.07897906344037,0,0,0,14.0799698198814
150,3,1,-5.07905772819391,89.25,-62.817570531321,0.928416150234156,0,0,0,17.1206403151666
150,3,1,0,91.875,69.9047154916636,5.51005157086676,0,0,0,12.6527534173336
150,3,1,5.64339747577101,93.75,47.0241999938763,2.53453192572958,0,0,0,16.2834781488209
150,3,1,6.20773722334811,93.75,49.4891604837839,1.58085097151199,0,0,0,14.2901322376934
200,4,1,0,0,-0.415032272654984,65536,0,0,0,27.5283073522468
200,4,1,0,3,34.5364995789331,-40.4513266398254,0,0,0,14.7075309446015
200,4,1,0,34.125,15.2234957403287,-6.27083091222516,0,0,0,14.8333859881384
200,4,1,0,69,-8.8931000580362,5.80748652666794,0,0,0,18.3989779798156
200,4,1,0,75,-11.1169210550892,1.75562861002113,0,0,0,16.1638266555111
200,4,1,0,83.25,-13.1203506387994,2.50376569159063,0,0,0,14.0200123962074
200,4,1,0,84.75,-25.5878998517364,3.64630462306418,0,0,0,15.1038148022584
200,4,1,-5.64339747577101,89.25,43.4898334285386,-1.01132516394416,0,0,0,13.6753647435033
200,4,1,0,91.875,49.9758549858705,5.55908351786314,0,0,0,13.4499792105646
200,4,1,6.01962397415575,93.75,48.4264465843476,0.337803971270247,0,0,0,13.2478610093284
200,4,1,7.33641671850232,93.75,48.2991253983815,0.629140692915698,0,0,0,12.8627514664621
250,5,1,0,0,3.41184514120904,65536,0,0,0,27.360984967975
250,5,1,0,3,38.8713419263122,-37.7517314149828,0,0,0,14.6944002272196
250,5,1,0,33.75,17.1266007056896,-5.01259001556579,0,0,0,14.8821183331669
250,5,1,0,69,-9.18643915234729,5.70924663307763,0,0,0,20.2716788628788
250,5,1,-6.01962397415575,72,64.3746045064921,-8.70680486213708,0,0,0,12.6189435670695
250,5,1,0,75,-28.8184220621418,1.0655819926162,0,0,0,15.8319651523311
250,5,1,0,84.75,-27.1590888431561,4.42233347164952,0,0,0,14.2314784797441
250,5,1,0,85.5,2.83987537333235,4.98995050306988,0,0,0,13.8202876468831
250,5,1,-5.07905772819391,89.25,-63.4198699305947,0.553793737033331,0,0,0,13.9195295383516
250,5,1,-4.51471798061681,89.25,45.3112772054779,0.439827507111104,0,0,0,14.2958489475775
250,5,1,0,91.875,53.6176915328793,6.2371687643803,0,0,0,12.4576436157161
250,5,1,5.83151072496338,93.75,48.2168195290932,3.87808513321637,0,0,0,14.0633422969953
300,6,1,0,0,3.41184514120904,65536,0,0,0,27.3648725954773
300,6,1,0,3,38.5527754657855,-38.0728014013053,0,0,0,14.9432685200323
300,6,1,0,33.75,17.2927574926609,-5.15998220717003,0,0,0,15.015685066915
300,6,1,0,69,-8.90623555097871,6.0023991674649,0,0,0,20.0836476761817
300,6,1,0,75,-11.9552853876945,0.8417729878975,0,0,0,15.4502321274697
