uiTimeStamp,uiCycleCounter,eSigStatus,VehicleWidth,VehicleLength,OverhangFront,LatPos,LongPos,VertPos,PitchAngle,RollAngle,YawAngle
50,1,1,0,0,0,0,0,0,0,0,0
100,2,1,0,0,0,0,0,0,0,0,0
150,3,1,0,0,0,0,0,0,0,0,0
200,4,1,0,0,0,0,0,0,0,0,0
250,5,1,0,0,0,0,0,0,0,0,0
300,6,1,0,0,0,0,0,0,0,0,0
350,7,1,0,0,0,0,0,0,0,0,0
400,8,1,0,0,0,0,0,0,0,0,0
450,9,1,0,0,0,0,0,0,0,0,0
500,10,1,0,0,0,0,0,0,0,0,0
550,11,1,0,0,0,0,0,0,0,0,0
600,12,1,0,0,0,0,0,0,0,0,0
650,13,1,0,0,0,0,0,0,0,0,0
700,14,1,0,0,0,0,0,0,0,0,0
750,15,1,0,0,0,0,0,0,0,0,0
800,16,1,0,0,0,0,0,0,0,0,0
850,17,1,0,0,0,0,0,0,0,0,0
900,18,1,0,0,0,0,0,0,0,0,0
950,19,1,0,0,0,0,0,0,0,0,0
1000,20,1,0,0,0,0,0,0,0,0,0
1050,21,1,0,0,0,0,0,0,0,0,0
1100,22,1,0,0,0,0,0,0,0,0,0
1150,23,1,0,0,0,0,0,0,0,0,0
1200,24,1,0,0,0,0,0,0,0,0,0
1250,25,1,0,0,0,0,0,0,0,0,0
1300,26,1,0,0,0,0,0,0,0,0,0
1350,27,1,0,0,0,0,0,0,0,0,0
1400,28,1,0,0,0,0,0,0,0,0,0
1450,29,1,0,0,0,0,0,0,0,0,0
1500,30,1,0,0,0,0,0,0,0,0,0
1550,31,1,0,0,0,0,0,0,0,0,0
1600,32,1,0,0,0,0,0,0,0,0,0
1650,33,1,0,0,0,0,0,0,0,0,0
1700,34,1,0,0,0,0,0,0,0,0,0
1750,35,1,0,0,0,0,0,0,0,0,0
1800,36,1,0,0,0,0,0,0,0,0,0
1850,37,1,0,0,0,0,0,0,0,0,0
1900,38,1,0,0,0,0,0,0,0,0,0
1950,39,1,0,0,0,0,0,0,0,0,0
2000,40,1,0,0,0,0,0,0,0,0,0
2050,41,1,0,0,0,0,0,0,0,0,0
2100,42,1,0,0,0,0,0,0,0,0,0
2150,43,1,0,0,0,0,0,0,0,0,0
2200,44,1,0,0,0,0,0,0,0,0,0
2250,45,1,0,0,0,0,0,0,0,0,0
2300,46,1,0,0,0,0,0,0,0,0,0
2350,47,1,0,0,0,0,0,0,0,0,0
2400,48,1,0,0,0,0,0,0,0,0,0
2450,49,1,0,0,0,0,0,0,0,0,0
2500,50,1,0,0,0,0,0,0,0,0,0
2550,51,1,0,0,0,0,0,0,0,0,0
2600,52,1,0,0,0,0,0,0,0,0,0
2650,53,1,0,0,0,0,0,0,0,0,0
2700,54,1,0,0,0,0,0,0,0,0,0
