uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
50,1,1,0,0,3.41184514120904,65536,0,0,0,25.0059987725424
50,1,1,0,4.5,9.26647111754742,-13.7477153494002,0,0,0,26.6255116470384
50,1,1,0,5.25,7.04787397069723,-23.4357391608971,0,0,0,16.1073004406394
50,1,1,0,34.125,15.4109324315722,-6.17289283699802,0,0,0,14.1699817494535
50,1,1,0,69,-6.69851551301903,5.73752257665744,0,0,0,17.2111772185961
50,1,1,-5.83151072496338,71.25,-39.8654046660269,-12.8295780322889,0,0,0,13.1441753296949
50,1,1,0,75,-11.7178952825573,3.63001545725918,0,0,0,16.3884320173996
50,1,1,-7.14830346930995,80.25,44.9214854390792,-4.95926183536535,0,0,0,13.2837444591902
50,1,1,-6.58396372173285,80.25,45.0959821966132,-6.1653192823748,0,0,0,12.680574737735
50,1,1,-8.46509621365652,89.25,43.7936776255226,-4.64512512461322,0,0,0,12.9184987016449
50,1,1,-7.90075646607942,89.25,44.6476392366946,2.97046880212331,0,0,0,16.3448832397371
50,1,1,-6.96019022011758,89.25,44.2949562472531,0.507659828788164,0,0,0,12.6422279853077
50,1,1,-6.01962397415575,89.25,44.6070484766259,-1.42166083079356,0,0,0,12.8141751610421
50,1,1,0,91.875,-45.1977385587,5.93508495438739,0,0,0,14.5757357165912
50,1,1,6.77207697092522,93.75,47.6675357411453,1.50471610705235,0,0,0,15.2708040764904
50,1,1,8.65320946284888,93.75,48.8164349246183,3.37582661573062,0,0,0,13.8855701195951
100,2,1,0,0,3.41184514120904,65536,0,0,0,24.1195196714311
100,2,1,0,4.5,8.70642336702336,-13.3184408383619,0,0,0,26.3824934418526
100,2,1,0,5.25,6.51731035621286,-22.728435713476,0,0,0,16.4547467884877
100,2,1,0,6,-39.9607680640329,-23.2164699044748,0,0,0,13.0659363267204
100,2,1,0,27.375,-18.263446236401,-8.77014579582915,0,0,0,13.1641561235755
100,2,1,0,34.125,15.6407983637056,-6.45416577152656,0,0,0,13.8086451774267
100,2,1,0,69,-7.53354607348183,6.14470645399372,0,0,0,17.2364883207492
100,2,1,-6.01962397415575,72,-44.4069342993334,-8.80218692030677,0,0,0,14.0623498025125
100,2,1,0,75,-12.1831286681456,3.14268668531392,0,0,0,16.5912861965424
100,2,1,-6.20773722334811,80.25,43.5781327881037,-4.97000241090619,0,0,0,13.4363350858606
100,2,1,-8.08886971527178,89.25,44.3816026161542,1.04160927107206,0,0,0,14.3896134295299
100,2,1,-6.96019022011758,89.25,-64.3519955956868,2.33041344089806,0,0,0,13.3800493243575
100,2,1,-6.20773722334811,89.25,44.864758353264,-0.879727211559654,0,0,0,13.0430718639063
100,2,1,0,91.875,54.2529194435791,6.31072220922202,0,0,0,12.5580866266454
100,2,1,6.96019022011758,93.75,47.6134564530882,3.14699072674266,0,0,0,15.2791947378797
100,2,1,8.84132271204125,93.75,48.8071973693191,2.49757001972013,0,0,0,14.7155760418134
100,2,1,9.40566245961835,93.75,47.9556809242935,-2.2047544210828,0,0,0,13.1030728850072
150,3,1,0,0,3.41184514120904,65536,0,0,0,24.7434157503556
150,3,1,0,4.5,9.35081876511354,-13.8244060866912,0,0,0,26.3088070494975
150,3,1,0,5.25,7.09013602338541,-23.3825707531745,0,0,0,16.1912577631123
150,3,1,0,6,-39.9730026393614,-23.763357992642,0,0,0,13.0854800556145
150,3,1,0,27.375,-18.1896587219387,-8.93548986152531,0,0,0,12.6357488627724
150,3,1,0,34.125,15.6472606993025,-6.63982912125763,0,0,0,14.1301574260205
150,3,1,-3.38603848546261,48,68.0350257301674,-12.1353199267769,0,0,0,14.0402978157468
150,3,1,0,69,-7.37697830021788,6.32278251252011,0,0,0,17.7139475746389
150,3,1,-6.01962397415575,72,68.630533075134,-7.19956282885106,0,0,0,13.2707698788557
150,3,1,0,75,-11.8135562528086,3.03570606758318,0,0,0,16.7079365968702
150,3,1,-6.96019022011758,89.25,44.8770726344915,-1.96144169648072,0,0,0,13.0302298746967
150,3,1,-5.26717097738628,89.25,45.4081405667363,-0.784679471943505,0,0,0,13.6178920198502
150,3,1,-4.70283122980918,89.25,47.1439081307112,-5.7071065262907,0,0,0,12.5077518643657
150,3,1,0,91.875,53.0686448735371,6.41316284267211,0,0,0,14.1234368680117
200,4,1,0,0,3.41184514120904,65536,0,0,0,24.5627393572549
200,4,1,0,4.5,8.81986383682588,-13.314917440497,0,0,0,26.6629180882957
200,4,1,0,5.25,6.85802501849946,-23.2205530303786,0,0,0,15.9173571206282
200,4,1,0,6,-39.7826491762241,-23.9147382346453,0,0,0,12.7025027165763
200,4,1,0,34.125,15.9688692450363,-6.666053290779,0,0,0,13.7467580906423
200,4,1,0,69,-6.9894802636485,5.79147822297271,0,0,0,17.5692902509152
200,4,1,0,75,-11.999789625052,3.00427187480064,0,0,0,15.9612266226911
200,4,1,-6.58396372173285,89.25,45.1853692344092,1.82002749817057,0,0,0,15.0430349290245
200,4,1,-5.07905772819391,89.25,46.4899937294711,1.79359409619313,0,0,0,14.9422298191638
200,4,1,0,91.875,-45.7250961154851,4.50764359303156,0,0,0,13.3691992357197
200,4,1,4.70283122980918,93.75,46.9840528954358,-2.02421120453654,0,0,0,12.5038691695077
200,4,1,5.45528422657865,93.75,48.1332866174919,3.75857028337965,0,0,0,15.2512878825754
200,4,1,7.14830346930995,93.75,47.3347923136211,3.07572542031188,0,0,0,15.8364868501304
200,4,1,7.52452996769468,93.75,48.6734185652913,0.991101435934851,0,0,0,13.600564804153
250,5,1,0,0,3.41184514120904,65536,0,0,0,24.3899211938594
250,5,1,0,4.5,8.70446404611435,-13.281356561664,0,0,0,26.7079246529115
250,5,1,0,5.25,6.76256450687748,-22.5488899383982,0,0,0,16.8898584280827
250,5,1,0,6,-50.9704754770817,-23.489104029653,0,0,0,12.7834312307788
250,5,1,0,34.125,15.5991708675569,-6.48155656156993,0,0,0,13.2792434455782
250,5,1,-3.38603848546261,48,63.2347707751483,-13.096032526743,0,0,0,14.1709696622693
250,5,1,0,69,-15.0751508486606,6.08087724096271,0,0,0,17.4734208338447
250,5,1,0,75,-11.4665048924308,3.25849134931873,0,0,0,16.1724615395054
250,5,1,-7.14830346930995,80.25,44.5876612815013,-3.45248366216312,0,0,0,14.6607894233257
250,5,1,-9.40566245961835,89.25,45.3639400151165,-2.03388432321857,0,0,0,12.7921898221367
250,5,1,-8.65320946284888,89.25,-65.1252504579002,0.253796341464536,0,0,0,13.2319707113013
250,5,1,-8.27698296446415,89.25,44.7408988704989,0.523205198422957,0,0,0,12.8788543570627
250,5,1,-7.71264321688705,89.25,43.752672121196,2.06596065384481,0,0,0,16.1665651774601
250,5,1,-7.14830346930995,89.25,44.3423992115222,-0.138098186272614,0,0,0,13.9156135963124
250,5,1,0,91.875,67.9036786618542,5.88615264235548,0,0,0,14.4660141815413
250,5,1,7.90075646607942,93.75,47.3508663055764,1.0619891344531,0,0,0,12.8557170828968
250,5,1,9.40566245961835,93.75,49.300337466487,2.88035070162435,0,0,0,13.0005746622239
